                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2239,                 3.5767,                 2.2267,                0.03111,                0.11024,                0.01737,                0.00615,                 2.4381,                 3.4943,                 1.8897,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.8693,                 3.5003,                 1.9749,                0.07093,                0.25131,                0.04558,                 0.0169,                 2.2384,                 3.4136,                  1.707,             0.00013538,             0.00013538,             0.00013538
                      3,                 2.5835,                 3.2658,                  1.772,                0.07315,                0.25919,                0.05195,                0.01742,                 2.2324,                 3.2555,                 1.6635,             0.00020548,             0.00020548,             0.00020548
                      4,                 2.3525,                 2.7258,                  1.591,                0.04815,                 0.1706,                0.03448,                0.00846,                 2.3404,                 2.9571,                 1.6998,              0.0002703,              0.0002703,              0.0002703
                      5,                 2.3634,                 2.2066,                 1.4941,                0.13833,                0.49016,                0.31402,                0.11774,                  2.269,                 2.7373,                 1.6241,             0.00032984,             0.00032984,             0.00032984
                      6,                 2.2145,                 1.9425,                 1.3968,                0.60105,                0.55755,                0.49803,                0.17904,                 2.2102,                 2.4724,                 1.5629,              0.0003841,              0.0003841,              0.0003841
                      7,                 2.1979,                 1.7577,                 1.4077,                0.71094,                0.41273,                0.45207,                0.16526,                 2.3214,                 2.3447,                 1.6585,             0.00043308,             0.00043308,             0.00043308
                      8,                 2.1536,                 1.5914,                 1.3968,                0.74235,                0.59365,                 0.6239,                0.23896,                 2.3176,                 1.8232,                 1.5641,             0.00047678,             0.00047678,             0.00047678
                      9,                 2.1734,                 1.4801,                 1.3801,                0.75348,                0.68391,                0.63751,                0.23037,                 2.2776,                 1.5927,                 1.5529,              0.0005152,              0.0005152,              0.0005152
                     10,                 2.1026,                 1.3918,                 1.3989,                0.72453,                0.69029,                0.64868,                0.24041,                 2.1791,                 1.5566,                 1.5407,             0.00054834,             0.00054834,             0.00054834
                     11,                 2.1649,                 1.4711,                 1.3942,                0.70144,                0.68504,                0.65696,                0.24649,                 2.1164,                  1.537,                  1.505,              0.0005762,              0.0005762,              0.0005762
                     12,                 2.0814,                 1.4153,                 1.3273,                0.71004,                0.71916,                0.68436,                0.25219,                  2.088,                 1.4402,                 1.4795,             0.00059878,             0.00059878,             0.00059878
                     13,                 2.1087,                 1.3655,                 1.3169,                0.70447,                0.71063,                0.66517,                0.24719,                 2.1311,                 1.3697,                 1.5472,             0.00061608,             0.00061608,             0.00061608
                     14,                 2.0145,                 1.2714,                 1.2995,                0.71013,                0.69882,                0.65626,                0.24704,                 2.1227,                 1.3228,                 1.5535,              0.0006281,              0.0006281,              0.0006281
                     15,                 2.0484,                 1.2674,                 1.2959,                0.70671,                0.70834,                0.65929,                0.24573,                 2.1357,                 1.3071,                 1.5803,             0.00063484,             0.00063484,             0.00063484
                     16,                 2.0669,                 1.2746,                 1.3372,                0.66167,                0.68438,                0.60275,                 0.2337,                 2.1366,                 1.3272,                 1.6096,              0.0006363,              0.0006363,              0.0006363
                     17,                 2.0885,                 1.2666,                 1.2919,                0.66982,                0.67088,                0.59986,                0.23305,                 2.1291,                  1.326,                 1.5971,             0.00063248,             0.00063248,             0.00063248
                     18,                 1.9994,                 1.2071,                 1.2943,                0.75684,                0.72709,                 0.6845,                0.27147,                 2.0438,                 1.2122,                 1.4835,             0.00062338,             0.00062338,             0.00062338
                     19,                 1.9839,                 1.2157,                 1.2832,                0.76657,                0.73911,                0.70679,                0.28568,                 2.0267,                 1.1927,                 1.4486,               0.000609,               0.000609,               0.000609
                     20,                 2.0435,                 1.2125,                 1.2893,                0.80212,                0.74475,                0.75416,                0.29633,                 2.0149,                 1.1956,                 1.4184,             0.00058934,             0.00058934,             0.00058934
                     21,                 2.0162,                 1.1746,                  1.343,                0.75311,                0.72458,                0.71799,                0.28448,                 2.0173,                 1.2015,                 1.4172,              0.0005644,              0.0005644,              0.0005644
